best_params,horizon,loss_section,method,tuning_objective
{},1.0,linex,Mean,1.5716887880116488
{'kappa': 7.849943290518327},1.0,linex,MWUMConcOnlyKL,1.8737130724116813
"{'eta': 0.05059635030485148, 'kappa': 7.982919948391065}",1.0,linex,MWUMBothKL,1.8868371070546055
{'eta': 0.001071380345127959},1.0,linex,MWUMVanilla,1.9679959458159566
{},1.0,linex,Median,2.1397734634077263
{'eta': 0.0031709028216475085},1.0,linex,OGDVanilla,2.29131275968619
"{'eta': 0.00302272642675273, 'kappa': 0.003670244761572792}",1.0,linex,OGDBoth,2.291582585620061
{'kappa': 7.989067040220606},1.0,linex,OGDConcOnly,2.579140724483963
"{'eta': 0.031220593023844168, 'kappa': 3.624385325514904}",4.0,linex,OGDBoth,5.3657827366635145
{'kappa': 1.8557563808482023},4.0,linex,MWUMConcOnlyKL,5.381439649967893
"{'eta': 2.9230972720137793, 'kappa': 2.439287239235953}",4.0,linex,MWUMBothKL,5.47413495328397
{'eta': 0.0495541420385862},4.0,linex,OGDVanilla,5.481725480929249
{'eta': 1.2322634388058582},4.0,linex,MWUMVanilla,9.440538812744247
{},4.0,linex,Mean,14.812864759185958
{},4.0,linex,Median,14.977728192844564
{'kappa': 7.973929436896223},4.0,linex,OGDConcOnly,18.846284429662138
"{'eta': 0.033144088276003625, 'kappa': 1.3919459890346317}",8.0,linex,OGDBoth,10.561033791949372
{'eta': 0.028792972760974003},8.0,linex,OGDVanilla,10.594387449501564
{'kappa': 0.96553628534458},8.0,linex,MWUMConcOnlyKL,10.701371566188174
"{'eta': 2.7054467838824405, 'kappa': 1.4723907206505458}",8.0,linex,MWUMBothKL,10.813543879969608
{'eta': 2.6977035594911487},8.0,linex,MWUMVanilla,19.60451370140126
{},8.0,linex,Median,28.772192927198226
{},8.0,linex,Mean,28.899487357446475
{'kappa': 7.9869664267965925},8.0,linex,OGDConcOnly,44.4058864109314
{'eta': 0.01580148447850615},1.0,mse,MWUMVanilla,0.9275967740804423
"{'eta': 0.015919552043565138, 'kappa': 0.005714357133536371}",1.0,mse,MWUMBothKL,0.9276072196891759
{},1.0,mse,Median,0.9351405990174786
{'eta': 0.001004380875007612},1.0,mse,OGDVanilla,0.9363174265651122
"{'eta': 0.001000231236412198, 'kappa': 0.05203263616499159}",1.0,mse,OGDBoth,0.9363951771480309
{'kappa': 7.849943290518327},1.0,mse,MWUMConcOnlyKL,0.9436778985286702
{},1.0,mse,Mean,0.951494710698005
{'kappa': 7.989067040220606},1.0,mse,OGDConcOnly,1.0591123854559412
{'kappa': 0.28056807110434306},4.0,mse,MWUMConcOnlyKL,2.3110477195341685
"{'eta': 2.9821867212394793, 'kappa': 0.5913228643145931}",4.0,mse,MWUMBothKL,2.436336792645921
"{'eta': 0.03643044147708752, 'kappa': 0.8840210944332434}",4.0,mse,OGDBoth,2.5986572663695844
{'eta': 0.04449333821791166},4.0,mse,OGDVanilla,2.617438665876078
{'kappa': 7.973929436896223},4.0,mse,OGDConcOnly,2.741631494002637
{'eta': 0.014568470700968195},4.0,mse,MWUMVanilla,3.208999573430413
{},4.0,mse,Median,3.257653711387143
{},4.0,mse,Mean,3.300878809265483
{'kappa': 0.39742005940341457},8.0,mse,MWUMConcOnlyKL,2.934682642435865
"{'eta': 2.900336707567024, 'kappa': 0.6678824415504225}",8.0,mse,MWUMBothKL,3.0253191922396407
"{'eta': 0.015110282798066584, 'kappa': 0.7407595779704955}",8.0,mse,OGDBoth,3.470104023728017
{'eta': 0.01529830399119274},8.0,mse,OGDVanilla,3.4878812727270203
{'kappa': 7.9869664267965925},8.0,mse,OGDConcOnly,4.083511276008283
{'eta': 2.8200403424806297},8.0,mse,MWUMVanilla,4.265079734439067
{},8.0,mse,Median,4.704949890767167
{},8.0,mse,Mean,4.886158056388866
