best_params,horizon,loss_section,method,tuning_objective
{},1.0,linex,Mean,1.5353887522221132
"{'eta': 0.0010869466553146418, 'kappa': 7.51011975594033}",1.0,linex,MWUMBothKL,1.7568333150058975
"{'eta': 0.04000975920197938, 'kappa': 7.788171024743676}",1.0,linex,MWUMConcOnlyKL,1.8111150145722488
{'eta': 0.001071380345127959},1.0,linex,MWUMVanilla,1.942031992972344
{},1.0,linex,Median,2.132740367416537
"{'eta': 0.01889879259941431, 'kappa': 7.908550293895121}",1.0,linex,OGDConcOnly,2.1391590985568434
{'eta': 0.0031709028216475085},1.0,linex,OGDVanilla,2.2390864857021597
"{'eta': 0.0031576228955195983, 'kappa': 0.0024886637247900295}",1.0,linex,OGDBoth,2.239273620757578
"{'eta': 0.029469702954236822, 'kappa': 5.032305705987864}",4.0,linex,OGDBoth,5.468778949750622
"{'eta': 0.17973232378405318, 'kappa': 1.5823556074993874}",4.0,linex,MWUMConcOnlyKL,5.5528534813989054
"{'eta': 2.9499438147542123, 'kappa': 3.4245102609633378}",4.0,linex,MWUMBothKL,5.563164894537939
{'eta': 0.05184093746478533},4.0,linex,OGDVanilla,5.796234982125387
{'eta': 1.8147265964847274},4.0,linex,MWUMVanilla,8.79815432411173
"{'eta': 0.07598643993749689, 'kappa': 7.805506547777622}",4.0,linex,OGDConcOnly,8.91469542329136
{},4.0,linex,Median,14.424355637046158
{},4.0,linex,Mean,14.613262449811607
"{'eta': 1.4779367164159243, 'kappa': 3.500325229967218}",8.0,linex,MWUMBothKL,10.707712104572659
"{'eta': 0.005477724519907216, 'kappa': 1.4861073477971558}",8.0,linex,OGDBoth,10.983407977312808
{'eta': 0.005083257982033165},8.0,linex,OGDVanilla,11.002999171221804
"{'eta': 0.781849322599175, 'kappa': 0.9537720082048889}",8.0,linex,MWUMConcOnlyKL,11.105118435645517
"{'eta': 0.033268215320327636, 'kappa': 4.84571470836092}",8.0,linex,OGDConcOnly,11.389613792718214
{'eta': 0.23450380966828216},8.0,linex,MWUMVanilla,19.330832966091933
{},8.0,linex,Median,28.902900481992447
{},8.0,linex,Mean,28.984654140212907
"{'eta': 0.014187626945931071, 'kappa': 0.03600282826691213}",1.0,mse,MWUMBothKL,0.9271714870229324
{'eta': 0.013783816558470288},1.0,mse,MWUMVanilla,0.9272279839775619
{},1.0,mse,Median,0.9340880694295579
{'eta': 0.001004380875007612},1.0,mse,OGDVanilla,0.93532546699805
"{'eta': 0.0010089037878103623, 'kappa': 0.14340181023302656}",1.0,mse,OGDBoth,0.9355025963929027
"{'eta': 0.04000975920197938, 'kappa': 7.788171024743676}",1.0,mse,MWUMConcOnlyKL,0.9443016286381749
"{'eta': 0.01889879259941431, 'kappa': 7.908550293895121}",1.0,mse,OGDConcOnly,0.9469512598749436
{},1.0,mse,Mean,0.9508282742933337
"{'eta': 2.5332277751016674, 'kappa': 0.25608619358030765}",4.0,mse,MWUMConcOnlyKL,2.311522784364965
"{'eta': 2.99138715807153, 'kappa': 1.102821750702496}",4.0,mse,MWUMBothKL,2.431739014294856
"{'eta': 0.03288929935310459, 'kappa': 2.6338496245322305}",4.0,mse,OGDBoth,2.5811956326715024
{'eta': 0.033110894270227446},4.0,mse,OGDVanilla,2.614810380977775
"{'eta': 0.0017461524219968072, 'kappa': 2.672302940624942}",4.0,mse,OGDConcOnly,2.6683625145544543
{'eta': 0.01975905899018788},4.0,mse,MWUMVanilla,3.2175799227502355
{},4.0,mse,Median,3.263253206160238
{},4.0,mse,Mean,3.3076637738264623
"{'eta': 0.2788500263129488, 'kappa': 0.2566672788130432}",8.0,mse,MWUMConcOnlyKL,2.9392786590445903
"{'eta': 2.958728127774368, 'kappa': 1.0504226437089312}",8.0,mse,MWUMBothKL,3.0407156314546966
"{'eta': 0.014286069428104169, 'kappa': 0.16207531409816334}",8.0,mse,OGDBoth,3.5638050643010213
{'eta': 0.013709098506762857},8.0,mse,OGDVanilla,3.5662427730061297
"{'eta': 0.003111324209734068, 'kappa': 2.8861943489415576}",8.0,mse,OGDConcOnly,3.7932315911265784
{'eta': 2.6029134173667132},8.0,mse,MWUMVanilla,4.388585424780673
{},8.0,mse,Median,4.740030592316158
{},8.0,mse,Mean,4.908320973470071
