best_params,horizon,loss_section,method,tuning_objective
{},1.0,linex,Mean,1.5353887522221132
"{'eta': 0.0010869466553146418, 'kappa': 7.51011975594033}",1.0,linex,MWUMBothKL,1.7568333150058975
"{'eta': 0.04000975920197938, 'kappa': 7.788171024743676}",1.0,linex,MWUMConcOnlyKL,1.8111150145722488
{'eta': 0.001071380345127959},1.0,linex,MWUMVanilla,1.942031992972344
{},1.0,linex,Median,2.132740367416537
"{'eta': 0.01889879259941431, 'kappa': 7.908550293895121}",1.0,linex,OGDConcOnly,2.1391590985568434
{'eta': 0.0031709028216475085},1.0,linex,OGDVanilla,2.2390864857021597
"{'eta': 0.0031576228955195983, 'kappa': 0.0024886637247900295}",1.0,linex,OGDBoth,2.239273620757578
"{'eta': 0.029469702954236822, 'kappa': 5.032305705987864}",4.0,linex,OGDBoth,5.468778949750622
"{'eta': 0.17973232378405318, 'kappa': 1.5823556074993874}",4.0,linex,MWUMConcOnlyKL,5.5528534813989054
"{'eta': 2.9499438147542123, 'kappa': 3.4245102609633378}",4.0,linex,MWUMBothKL,5.563164894537939
{'eta': 0.05184093746478533},4.0,linex,OGDVanilla,5.796234982125387
{'eta': 1.8147265964847274},4.0,linex,MWUMVanilla,8.79815432411173
"{'eta': 0.07598643993749689, 'kappa': 7.805506547777622}",4.0,linex,OGDConcOnly,8.91469542329136
{},4.0,linex,Median,14.424355637046158
{},4.0,linex,Mean,14.613262449811607
"{'eta': 1.4779367164159243, 'kappa': 3.500325229967218}",8.0,linex,MWUMBothKL,10.707712104572659
"{'eta': 0.005477724519907216, 'kappa': 1.4861073477971558}",8.0,linex,OGDBoth,10.983407977312808
{'eta': 0.005083257982033165},8.0,linex,OGDVanilla,11.002999171221804
"{'eta': 0.781849322599175, 'kappa': 0.9537720082048889}",8.0,linex,MWUMConcOnlyKL,11.105118435645517
"{'eta': 0.033268215320327636, 'kappa': 4.84571470836092}",8.0,linex,OGDConcOnly,11.389613792718214
{'eta': 0.23450380966828216},8.0,linex,MWUMVanilla,19.330832966091933
{},8.0,linex,Median,28.902900481992447
{},8.0,linex,Mean,28.984654140212907
"{'eta': 0.024392624523246854, 'kappa': 1.7656498978508024}",12.0,linex,OGDBoth,17.83083915009123
{'eta': 0.022538373995558445},12.0,linex,OGDVanilla,17.89313910736436
"{'eta': 0.1138172676524081, 'kappa': 2.9768496013593286}",12.0,linex,MWUMConcOnlyKL,18.027803704785
"{'eta': 1.910545444645835, 'kappa': 0.13770202533711998}",12.0,linex,MWUMBothKL,18.81749753877198
"{'eta': 0.028388290961090853, 'kappa': 4.623739798163082}",12.0,linex,OGDConcOnly,19.08183697970306
{'eta': 0.5410727586287823},12.0,linex,MWUMVanilla,24.308356333292977
{},12.0,linex,Median,38.63684361979445
{},12.0,linex,Mean,41.2825660787239
"{'eta': 0.32279472442376567, 'kappa': 7.014530120543268}",16.0,linex,MWUMBothKL,17.501983374668114
{'eta': 0.001007602754436529},16.0,linex,OGDVanilla,18.042410378326153
"{'eta': 0.0010118368331163896, 'kappa': 0.0010323243457558394}",16.0,linex,OGDBoth,18.047472161033262
"{'eta': 0.014722993424677061, 'kappa': 4.394097022148865}",16.0,linex,MWUMConcOnlyKL,18.51285070485755
"{'eta': 0.20780417601364995, 'kappa': 7.93897322946538}",16.0,linex,OGDConcOnly,20.3924640783246
{'eta': 0.3807584825631592},16.0,linex,MWUMVanilla,26.35785960187303
{},16.0,linex,Median,49.53089310880846
{},16.0,linex,Mean,57.3390341965621
"{'eta': 0.014187626945931071, 'kappa': 0.03600282826691213}",1.0,mse,MWUMBothKL,0.9271714870229324
{'eta': 0.013783816558470288},1.0,mse,MWUMVanilla,0.9272279839775619
{},1.0,mse,Median,0.9340880694295579
{'eta': 0.001004380875007612},1.0,mse,OGDVanilla,0.93532546699805
"{'eta': 0.0010089037878103623, 'kappa': 0.14340181023302656}",1.0,mse,OGDBoth,0.9355025963929027
