seed,horizon,method,n_obs,mse,mae,linex_a1,avg_hhi,best_individual_mse,best_individual_idx
0.0,1.0,Mean,1020.0,0.12459778883642683,0.258684977787872,0.06480672078441155,0.055555555555555566,0.12420020608121012,1.0
0.0,1.0,Median,1020.0,0.12193603357283764,0.25785106733897667,0.06368108685494371,nan,0.12420020608121012,1.0
0.0,1.0,OGDVanilla,1020.0,0.12489840207351989,0.26086561283797205,0.06548059111815588,0.07964201251951095,0.12420020608121012,1.0
0.0,1.0,MWUMVanilla,1020.0,0.12047032161290999,0.25648681476468527,0.06307143230265513,0.075747767689246,0.12420020608121012,1.0
0.0,1.0,OGDBoth,1020.0,0.12342651848511456,0.25921799139512774,0.06444513728742875,0.05833699135523941,0.12420020608121012,1.0
0.0,1.0,OGDConcOnly,1020.0,0.15591839058538817,0.27831102635334326,0.07631359192359573,0.10180887219959982,0.12420020608121012,1.0
0.0,1.0,MWUMBothKL,1020.0,0.12239818006749874,0.2578440577733417,0.06405232721791282,0.05626227961013339,0.12420020608121012,1.0
0.0,1.0,MWUMConcOnlyKL,1020.0,0.12206980733368204,0.2577581188993324,0.06378554502834206,0.05702539939570835,0.12420020608121012,1.0
0.0,4.0,Mean,1020.0,0.48452615624893,0.5024795195846786,0.2914855710974333,0.055555555555555566,0.46715382187102283,9.0
0.0,4.0,Median,1020.0,0.47855306721901864,0.4972097608661346,0.2868950584583828,nan,0.46715382187102283,9.0
0.0,4.0,OGDVanilla,1020.0,0.441022932242304,0.47298790952904507,0.2671225153891693,0.1389113581525225,0.46715382187102283,9.0
0.0,4.0,MWUMVanilla,1020.0,0.4668484714931787,0.49340845492973456,0.28657291277369024,0.3838459724860564,0.46715382187102283,9.0
0.0,4.0,OGDBoth,1020.0,0.4347806153482652,0.4702835443086367,0.2622930022976371,0.08300564143470611,0.46715382187102283,9.0
0.0,4.0,OGDConcOnly,1020.0,0.4231728307025684,0.47215676798734746,0.247908963160053,0.1705230401515681,0.46715382187102283,9.0
0.0,4.0,MWUMBothKL,1020.0,0.4618123312204515,0.48892040149297844,0.2796854203468466,0.0589499725007648,0.46715382187102283,9.0
0.0,4.0,MWUMConcOnlyKL,1020.0,0.4200000737439145,0.4654604383504625,0.25383187942011143,0.06592729718213475,0.46715382187102283,9.0
0.0,8.0,Mean,1020.0,0.7611964233225562,0.6385815798572596,0.4505054464261952,0.055555555555555566,0.6203234035650731,1.0
