horizon,method,mse_mean,mse_std,mae_mean,linex_mean,avg_hhi_mean,avg_excess_mse_vs_best_individual
1.0,MWUMVanilla,0.09704554432343297,0.014186644962721017,0.23144352850034955,0.05122314799619222,0.08434919895352597,-0.0021392573559332662
1.0,MWUMBothKL,0.09710646205981154,0.014368548249859019,0.2310191025892519,0.051223879169027556,0.05591274218661255,-0.002078339619554706
1.0,MWUMConcOnlyKL,0.0971389727371847,0.014273357198490018,0.23110250501686122,0.05124079388674381,0.056442021176143185,-0.0020458289421815433
1.0,OGDBoth,0.0973700075524497,0.014685212955075288,0.23115766334868587,0.051301833576234634,0.05743498808444125,-0.0018147941269165454
1.0,Median,0.09743606633521232,0.014490020764943873,0.2317326051604447,0.05140827608682254,nan,-0.0017487353441539301
1.0,Mean,0.09771045947582627,0.014708193146101192,0.23145853529285548,0.05155236235992424,0.055555555555555566,-0.0014743422035399926
1.0,OGDVanilla,0.098451504964377,0.015100014304526024,0.2326053968897198,0.05187048461013575,0.07924991667173084,-0.0007332967149892372
1.0,OGDConcOnly,0.10768111694193876,0.021539849974447155,0.24083741137598497,0.056108809019170224,0.08802784870946037,0.008496315262572513
4.0,OGDConcOnly,0.2689929432531731,0.07165112624937427,0.3735692495482397,0.15706939912809914,0.1312153510304291,-0.0297457692059633
4.0,MWUMConcOnlyKL,0.2772246781489959,0.06426154082409764,0.38348980301217456,0.1638291556098131,0.0619050569501151,-0.021514034310140442
4.0,OGDBoth,0.2798189150633118,0.06860240546460043,0.3822927669523571,0.16599765009948747,0.0752022778582693,-0.018919797395824535
4.0,OGDVanilla,0.2811464880324551,0.07035575857421321,0.3825430699239807,0.16708845353812277,0.12743930499738068,-0.01759222442668125
4.0,MWUMVanilla,0.29799468852002126,0.07319993551524315,0.3936933095829562,0.1790634936185607,0.31122380823686896,-0.0007440239391150405
4.0,MWUMBothKL,0.301619881586677,0.07247826899097594,0.39894359710109806,0.1803392316385643,0.05768134320737396,0.0028811691275407057
4.0,Median,0.30811147972388464,0.07662851842893124,0.4005366916856509,0.1852246446230509,nan,0.009372767264748321
4.0,Mean,0.31633373387293556,0.07732421123022026,0.40914539261354765,0.1905758050801337,0.055555555555555566,0.017595021413799213
8.0,OGDVanilla,0.32917936224975525,0.09720216435321065,0.41456001063365855,0.1970341106030542,0.14467711688277524,-0.03003192623315784
8.0,OGDBoth,0.331171676278583,0.09797380272466688,0.4180259049933247,0.19857066425592218,0.08573754080457088,-0.02803961220433011
8.0,MWUMConcOnlyKL,0.3411214745751379,0.09685416233972002,0.4294432152805503,0.2038027689336479,0.06612407496911452,-0.01808981390777518
8.0,OGDConcOnly,0.3560651294994443,0.11912023140124549,0.43386883603636156,0.22018356592347166,0.15633090143270562,-0.0031461589834687804
8.0,MWUMVanilla,0.3604449571028575,0.10271373467382627,0.4351900937070573,0.219349420250619,0.4750988909689065,0.0012336686199444808
8.0,MWUMBothKL,0.3771763944974701,0.10896981182246093,0.4514268778061741,0.22734074361590545,0.06101624437440554,0.017965106014556968
8.0,Median,0.4068769753815653,0.12785557552317428,0.46421462821903087,0.25121878111742574,nan,0.047665686898652235
8.0,Mean,0.43155523840857574,0.1364557901478318,0.4833984481409478,0.26517516381031714,0.055555555555555566,0.07234394992566259
