horizon,method,loss,improvement_pct,ci_lower,ci_upper,mbb_p,dm_p,dm_stat
CPI2,Mean,mse,-54.69461969621559,-138.9674702077869,-0.6974181826066758,0.978,0.9272954213728014,-1.4559401791021052
CPI2,Mean,linex,-86.35460079924627,-224.7892754707098,-4.263649268841025,0.99425,0.9262165771886833,-1.4481795380844171
CPI2,Median,mse,-47.49074160773799,-127.1975913722581,-0.5765022249761733,0.97825,0.9163763232076817,-1.3811028039522504
CPI2,Median,linex,-77.39743994292269,-218.39985289340004,-2.5562705908782477,0.992,0.9033380953764716,-1.3008090914959374
CPI2,OGDVanilla,mse,-48.45644526116105,-128.31701560054233,2.577757349538552,0.9645,0.9102687221609413,-1.342411661487739
CPI2,OGDVanilla,linex,-84.72359299403271,-220.74253585161665,-4.051069061963451,0.994,0.9260648447992273,-1.4470950279179382
CPI2,MWUMVanilla,mse,-53.873606585363916,-136.34169533513366,-0.5564854559567313,0.9775,0.9271478938285461,-1.4548737638133413
CPI2,MWUMVanilla,linex,-86.12525842596591,-224.36831012942642,-4.27769081606851,0.99425,0.9270238352481543,-1.453978274851336
CPI2,OGDBoth,mse,-48.40275059321774,-128.26716943029007,2.6082996951925144,0.964,0.9100915716390889,-1.3413191443099026
CPI2,OGDBoth,linex,-84.7067944169908,-220.6822696384195,-4.04823901901937,0.994,0.9260632421029038,-1.4470835816964513
CPI2,OGDConcOnly,mse,-52.43212027482248,-134.45931458692638,0.140578383408137,0.9745,0.923094891472299,-1.426201395137277
CPI2,OGDConcOnly,linex,-85.91848293971917,-223.74830554507938,-4.219337694797305,0.99425,0.9260532575435438,-1.4470122777109076
CPI2,MWUMBothKL,mse,-53.8828229803234,-136.36440227046035,-0.5598421873204834,0.9775,0.9271507882614185,-1.4548946705569732
CPI2,MWUMBothKL,linex,-86.12765203949729,-224.36827457879326,-4.277529806402586,0.99425,0.9270162696183376,-1.453923701763248
CPI2,MWUMConcOnlyKL,mse,-41.43470138483352,-107.36014304516904,1.7040691411390774,0.964,0.9179984318575598,-1.3917334261672172
CPI2,MWUMConcOnlyKL,linex,-73.45051338606909,-190.84875712166738,-1.8557379220177466,0.98775,0.9229097099271478,-1.42491912650109
CPI2,RLKappaBandit,mse,-67.78993889292524,-134.5916801313493,-18.997847648209788,0.99975,0.9908824003326143,-2.3608073802204665
CPI2,RLRuleBandit,mse,-49.41455633612975,-124.00442733108665,-1.067447684649505,0.98025,0.933974273918043,-1.5060612451652284
CPI2,RLKappaBandit,linex,-88.13504869422201,-248.77927003320923,-8.607952468400285,0.9985,0.9113250271141695,-1.3489595911140129
CPI2,RLRuleBandit,linex,-86.80192402516988,-225.36557809164893,-4.416668376249198,0.9945,0.9265003210216843,-1.4502121857715229
CPI3,Mean,mse,-40.74134500460647,-108.63347244006738,6.121959350419407,0.80525,0.8720772939954775,-1.136265626586816
CPI3,Mean,linex,-130.91358032411063,-335.4814185441237,8.560552432728995,0.8345,0.8840937927999741,-1.1957031686565338
CPI3,Median,mse,-34.34868676276266,-94.54294150726226,8.257081201613765,0.799,0.86309018172288,-1.0943086415471823
CPI3,Median,linex,-108.53149038337753,-281.76740939349804,9.953231568776548,0.83425,0.885209243749419,-1.2014375631158998
CPI3,OGDVanilla,mse,-26.844062639730772,-75.41671897964933,5.464480058873238,0.81675,0.8667495673500007,-1.11115679348283
CPI3,OGDVanilla,linex,-86.75433057048974,-233.73947978829713,8.631931360261712,0.835,0.8818033131456726,-1.1840497402502235
CPI3,MWUMVanilla,mse,-37.666226578891866,-101.94435453814864,6.132338497413894,0.8045,0.8703963389120184,-1.1282666530865375
CPI3,MWUMVanilla,linex,-112.09052132675188,-299.69829342723204,8.584548768446846,0.83475,0.8833882505821187,-1.192096271443679
CPI3,OGDBoth,mse,-26.810268007688077,-75.31166797487793,5.459398327653053,0.81725,0.8667721303185696,-1.1112616550955363
CPI3,OGDBoth,linex,-86.56370766942368,-233.23527879933644,8.632820545762595,0.835,0.8818046579264749,-1.18405653506968
CPI3,OGDConcOnly,mse,-29.756865503726807,-82.17964599255062,4.899870691367592,0.824,0.8713075454501527,-1.1325937152410601
CPI3,OGDConcOnly,linex,-101.91487636660882,-269.77877480728307,8.420729557224623,0.835,0.8840158674551974,-1.195304031858804
CPI3,MWUMBothKL,mse,-37.69154255300133,-102.00220936917823,6.132282157094669,0.8045,0.8704117208631319,-1.1283395223758272
CPI3,MWUMBothKL,linex,-112.19866275432028,-299.94828610126444,8.584135425835363,0.83475,0.883394361211685,-1.1921274438621456
CPI3,MWUMConcOnlyKL,mse,8.967567916586567,-5.328377781220504,23.64548344501912,0.126,0.0802906052845897,1.4031194887303482
CPI3,MWUMConcOnlyKL,linex,-15.836703657317345,-55.48403559596948,4.201962526546051,0.85325,0.8407295879022945,-0.9974609399680581
CPI3,RLKappaBandit,mse,-8.65722176821443,-56.37282697061718,22.364129096917512,0.695,0.6643133541673749,-0.42426399860281605
CPI3,RLRuleBandit,mse,-74.83139726018419,-215.99603430442326,6.037126864475259,0.8065,0.8704378901675414,-1.1284635086242476
CPI3,RLKappaBandit,linex,-2.8681307012308666,-39.099438993366086,12.953188841747512,0.63975,0.5873049982348433,-0.22061784702157533
CPI3,RLRuleBandit,linex,-132.25408331927494,-336.2489491376617,8.647877677243237,0.83275,0.8847463157593742,-1.1990529211751464
