action_idx,action_name,hhi_t,horizon,horizon_name,kappa,lambda_t,loss_section,method,series_id,t
0.0,Mean,0.08333333333333334,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,0.0
1.0,OGDVanilla,0.08333333333333334,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,1.0
2.0,MWUMVanilla,0.08333333333333334,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,2.0
3.0,OGDBoth,0.08333333333333334,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,3.0
4.0,OGDConcOnly,0.08333333333333334,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,4.0
5.0,MWUMBothKL,0.08333333333333334,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,5.0
6.0,MWUMConcOnlyKL,0.08333333333333334,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,6.0
4.0,OGDConcOnly,0.08351945073213847,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,7.0
5.0,MWUMBothKL,0.08333333333333334,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,8.0
3.0,OGDBoth,0.08333333333333692,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,9.0
4.0,OGDConcOnly,0.08333456535212427,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,10.0
2.0,MWUMVanilla,0.08333333333350339,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,11.0
6.0,MWUMConcOnlyKL,0.08333333493715901,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,12.0
1.0,OGDVanilla,0.08333333333333334,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,13.0
0.0,Mean,0.08333333333333334,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,14.0
0.0,Mean,0.08333333333333334,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,15.0
4.0,OGDConcOnly,0.08333396746244022,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,16.0
3.0,OGDBoth,0.08333335475568304,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,17.0
1.0,OGDVanilla,0.08333333358705004,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,18.0
6.0,MWUMConcOnlyKL,0.08333333333333334,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,19.0
0.0,Mean,0.08333333333333334,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,20.0
5.0,MWUMBothKL,0.08333333941656144,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,21.0
3.0,OGDBoth,0.08333335256926674,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,22.0
1.0,OGDVanilla,0.08333333361649711,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,23.0
5.0,MWUMBothKL,0.08333333694066024,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,24.0
2.0,MWUMVanilla,0.08333367381285774,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,25.0
6.0,MWUMConcOnlyKL,0.0833349462507646,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,26.0
2.0,MWUMVanilla,0.08333367652973303,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,27.0
3.0,OGDBoth,0.08333335044452082,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,28.0
0.0,Mean,0.08333333333333334,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,29.0
5.0,MWUMBothKL,0.08333333598764048,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,30.0
1.0,OGDVanilla,0.08333333361649714,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,31.0
3.0,OGDBoth,0.08333359749102867,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,32.0
4.0,OGDConcOnly,0.08333352812784031,0.0,CPI1,nan,nan,mse,RLRuleBandit,CPI1,33.0
0.0,kappa_idx,0.08333333333333334,0.0,CPI1,0.01,0.006932471805599453,mse,RLKappaBandit,CPI1,0.0
1.0,kappa_idx,0.08333576383243073,0.0,CPI1,0.03,0.020795415416798357,mse,RLKappaBandit,CPI1,1.0
2.0,kappa_idx,0.08333333333333334,0.0,CPI1,0.1,0.06931571805599453,mse,RLKappaBandit,CPI1,2.0
3.0,kappa_idx,0.0833333337265742,0.0,CPI1,0.3,0.2079451541679836,mse,RLKappaBandit,CPI1,3.0
4.0,kappa_idx,0.08333333333342431,0.0,CPI1,1.0,0.6931481805599453,mse,RLKappaBandit,CPI1,4.0
5.0,kappa_idx,0.08333612143517716,0.0,CPI1,3.0,2.079442541679836,mse,RLKappaBandit,CPI1,5.0
6.0,kappa_idx,0.08333333333333334,0.0,CPI1,8.0,5.545178444479562,mse,RLKappaBandit,CPI1,6.0
4.0,kappa_idx,0.08333333334936562,0.0,CPI1,1.0,0.6931481805599453,mse,RLKappaBandit,CPI1,7.0
5.0,kappa_idx,0.08333334002327417,0.0,CPI1,3.0,2.079442541679836,mse,RLKappaBandit,CPI1,8.0
3.0,kappa_idx,0.08333335458299028,0.0,CPI1,0.3,0.2079451541679836,mse,RLKappaBandit,CPI1,9.0
4.0,kappa_idx,0.0833337903402497,0.0,CPI1,1.0,0.6931481805599453,mse,RLKappaBandit,CPI1,10.0
2.0,kappa_idx,0.08333333337375205,0.0,CPI1,0.1,0.06931571805599453,mse,RLKappaBandit,CPI1,11.0
6.0,kappa_idx,0.08392549782473269,0.0,CPI1,8.0,5.545178444479562,mse,RLKappaBandit,CPI1,12.0
1.0,kappa_idx,0.08333333333333334,0.0,CPI1,0.03,0.02026565090478656,mse,RLKappaBandit,CPI1,13.0
0.0,kappa_idx,0.083333928339345,0.0,CPI1,0.01,0.006581556432855071,mse,RLKappaBandit,CPI1,14.0
0.0,kappa_idx,0.08333904903246138,0.0,CPI1,0.01,0.006758698176996012,mse,RLKappaBandit,CPI1,15.0
4.0,kappa_idx,0.0849996702099441,0.0,CPI1,1.0,0.6846265922310907,mse,RLKappaBandit,CPI1,16.0
3.0,kappa_idx,0.08333333773980783,0.0,CPI1,0.3,0.2050804111104001,mse,RLKappaBandit,CPI1,17.0
1.0,kappa_idx,0.08333333333333334,0.0,CPI1,0.03,0.021864758689264872,mse,RLKappaBandit,CPI1,18.0
6.0,kappa_idx,0.08333334253145214,0.0,CPI1,8.0,5.911083763092358,mse,RLKappaBandit,CPI1,19.0
0.0,kappa_idx,0.08333334817681705,0.0,CPI1,0.01,0.0073913711188391745,mse,RLKappaBandit,CPI1,20.0
5.0,kappa_idx,0.08376206284797064,0.0,CPI1,3.0,2.2493567736602422,mse,RLKappaBandit,CPI1,21.0
3.0,kappa_idx,0.0833333334643424,0.0,CPI1,0.3,0.22584023389173472,mse,RLKappaBandit,CPI1,22.0
1.0,kappa_idx,0.08333333502546719,0.0,CPI1,0.03,0.0209545549409474,mse,RLKappaBandit,CPI1,23.0
5.0,kappa_idx,0.08333333333333334,0.0,CPI1,3.0,1.9884280432940835,mse,RLKappaBandit,CPI1,24.0
2.0,kappa_idx,0.08333333347457224,0.0,CPI1,0.1,0.06746682081566766,mse,RLKappaBandit,CPI1,25.0
6.0,kappa_idx,0.08333446474779245,0.0,CPI1,8.0,5.245964141005489,mse,RLKappaBandit,CPI1,26.0
2.0,kappa_idx,0.08333333333333334,0.0,CPI1,0.1,0.0674476346336283,mse,RLKappaBandit,CPI1,27.0
3.0,kappa_idx,0.08334092836249898,0.0,CPI1,0.3,0.21980570223012946,mse,RLKappaBandit,CPI1,28.0
0.0,kappa_idx,0.08334532136157283,0.0,CPI1,0.01,0.007308460994176278,mse,RLKappaBandit,CPI1,29.0
5.0,kappa_idx,0.08333333333333334,0.0,CPI1,3.0,2.1793929713745768,mse,RLKappaBandit,CPI1,30.0
1.0,kappa_idx,0.08333333333333334,0.0,CPI1,0.03,0.021288507155261503,mse,RLKappaBandit,CPI1,31.0
3.0,kappa_idx,0.08333333333333334,0.0,CPI1,0.3,0.20639303167895992,mse,RLKappaBandit,CPI1,32.0
4.0,kappa_idx,0.08333333333333334,0.0,CPI1,1.0,0.6741271948186685,mse,RLKappaBandit,CPI1,33.0
0.0,Mean,0.08333333333333334,0.0,CPI1,nan,nan,linex,RLRuleBandit,CPI1,0.0
1.0,OGDVanilla,0.08333333333333334,0.0,CPI1,nan,nan,linex,RLRuleBandit,CPI1,1.0
2.0,MWUMVanilla,0.08333333333333334,0.0,CPI1,nan,nan,linex,RLRuleBandit,CPI1,2.0
3.0,OGDBoth,0.08333333333333334,0.0,CPI1,nan,nan,linex,RLRuleBandit,CPI1,3.0
4.0,OGDConcOnly,0.08333333333333334,0.0,CPI1,nan,nan,linex,RLRuleBandit,CPI1,4.0
5.0,MWUMBothKL,0.08333333333333334,0.0,CPI1,nan,nan,linex,RLRuleBandit,CPI1,5.0
6.0,MWUMConcOnlyKL,0.08333333333333334,0.0,CPI1,nan,nan,linex,RLRuleBandit,CPI1,6.0
4.0,OGDConcOnly,0.08333333362693919,0.0,CPI1,nan,nan,linex,RLRuleBandit,CPI1,7.0
5.0,MWUMBothKL,0.08333333333333334,0.0,CPI1,nan,nan,linex,RLRuleBandit,CPI1,8.0
