method,loss,improvement_pct,ci_lower,ci_upper,mbb_p,dm_stat,dm_p,block_size,T
Mean,mse,-40.74134500460647,-108.63347244006738,6.121959350419407,0.80525,-1.136265626586816,0.8720772939954775,4,34
Median,mse,-34.34868676276266,-94.54294150726226,8.257081201613765,0.799,-1.0943086415471823,0.86309018172288,4,34
OGDVanilla,mse,-26.844062639730772,-75.41671897964933,5.464480058873238,0.81675,-1.11115679348283,0.8667495673500007,4,34
MWUMVanilla,mse,-37.666226578891866,-101.94435453814864,6.132338497413894,0.8045,-1.1282666530865375,0.8703963389120184,4,34
OGDBoth,mse,-26.810268007688077,-75.31166797487793,5.459398327653053,0.81725,-1.1112616550955363,0.8667721303185696,4,34
OGDConcOnly,mse,-29.756865503726807,-82.17964599255062,4.899870691367592,0.824,-1.1325937152410601,0.8713075454501527,4,34
MWUMBothKL,mse,-37.69154255300133,-102.00220936917823,6.132282157094669,0.8045,-1.1283395223758272,0.8704117208631319,4,34
MWUMConcOnlyKL,mse,8.967567916586567,-5.328377781220504,23.64548344501912,0.126,1.4031194887303482,0.0802906052845897,4,34
Mean,linex,-130.91358032411063,-335.4814185441237,8.560552432728995,0.8345,-1.1957031686565338,0.8840937927999741,4,34
Median,linex,-108.53149038337753,-281.76740939349804,9.953231568776548,0.83425,-1.2014375631158998,0.885209243749419,4,34
OGDVanilla,linex,-86.75433057048974,-233.73947978829713,8.631931360261712,0.835,-1.1840497402502235,0.8818033131456726,4,34
MWUMVanilla,linex,-112.09052132675188,-299.69829342723204,8.584548768446846,0.83475,-1.192096271443679,0.8833882505821187,4,34
OGDBoth,linex,-86.56370766942368,-233.23527879933644,8.632820545762595,0.835,-1.18405653506968,0.8818046579264749,4,34
OGDConcOnly,linex,-101.91487636660882,-269.77877480728307,8.420729557224623,0.835,-1.195304031858804,0.8840158674551974,4,34
MWUMBothKL,linex,-112.19866275432028,-299.94828610126444,8.584135425835363,0.83475,-1.1921274438621456,0.883394361211685,4,34
MWUMConcOnlyKL,linex,-15.836703657317345,-55.48403559596948,4.201962526546051,0.85325,-0.9974609399680581,0.8407295879022945,4,34
